Number,Code,Name,Lat,Lon,State,Category,fuel type,name-sheet,state-sheet,,,,,,,
813,1319,Russell Downtown,38.89333,-98.8569,KS,EXCLUDE,NG,Russell Downtown,KS,,,,,,,
814,1320,Sabetha Power Plant,39.90492,-95.8034,KS,EXCLUDE,DFO,Sabetha Power Plant,KS,,,,,,,
815,1321,St Francis,39.7736,-101.812,KS,EXCLUDE,DFO,St Francis,KS,,,,,,,
816,1322,St John,38.0083,-98.7633,KS,EXCLUDE,DFO,St John,KS,,,,,,,
817,1324,Sharon Spring,38.8917,-101.748,KS,EXCLUDE,NG,Sharon Spring,KS,,,,,,,
818,1325,Stafford,37.9553,-98.5928,KS,EXCLUDE,DFO,Stafford,KS,,,,,,,
819,1326,Sterling,38.2025,-98.1986,KS,EXCLUDE,DFO,Sterling,KS,,,,,,,
820,1327,Stockton,39.3772,-99.2947,KS,EXCLUDE,NG,Stockton,KS,,,,,,,
821,1328,Wamego,39.1992,-96.3086,KS,EXCLUDE,NG,Wamego,KS,,,,,,,
822,1329,Washington,39.8189,-97.0556,KS,EXCLUDE,DFO,Washington,KS,,,,,,,
823,1330,Wellington,37.26137,-97.4057,KS,EXCLUDE,NG,Wellington 1,KS,,,,,,,
824,1332,West,37.2354,-97.011,KS,EXCLUDE,NG,West 14th Street,KS,,,,,,,
825,1334,Great Bend - Midwest Energy,38.3708,-98.7831,KS,EXCLUDE,NG,Great Bend,KS,,,,,,,
826,1336,Garden City,37.9703,-100.896,KS,EXCLUDE,NG,Garden City,KS,,,,,,,
827,1353,Big Sandy,38.1707,-82.6176,KY,COALST,BIT,Big Sandy,KY,,,,,,,
828,1354,Dix Dam,37.7864,-84.7028,KY,EXCLUDE,WAT,Dix Dam,KY,,,,,,,
829,1355,E W Brown,37.78831,-84.7126,KY,COALST,BIT,E W Brown,KY,,,,,,,
830,1356,Ghent,38.7497,-85.035,KY,COALST,BIT,Ghent,KY,,,,,,,
831,1357,Green River,37.3636,-87.1214,KY,EXCLUDE,BIT,Green River,KY,,,,,,,
832,1358,Haefling,38.0794,-84.5194,KY,EXCLUDE,NG,Haefling,KY,,,,,,,
833,1359,Mother Ann Lee,37.8297,-84.7247,KY,EXCLUDE,WAT,Mother Ann Lee,KY,,,,,,,
834,1360,Pineville,36.79667,-83.7614,KY,EXCLUDE,BIT,Pineville,KY,,,,,,,
835,1361,Tyrone,38.0478,-84.8483,KY,EXCLUDE,DFO,Tyrone,KY,,,,,,,
836,1363,Cane Run,38.1831,-85.8892,KY,EXCLUDE,NG,Cane Run,KY,,,,,,,
837,1364,Mill Creek (KY),38.0525,-85.9103,KY,COALST,BIT,Mill Creek,KY,,,,,,,
838,1365,Ohio Falls,38.2832,-85.7792,KY,EXCLUDE,WAT,Ohio Falls,KY,,,,,,,
839,1366,Paddys Run,38.22359,-85.8417,KY,EXCLUDE,NG,Paddys Run,KY,,,,,,,
840,1367,Waterside GT,38.25833,-85.7542,KY,EXCLUDE,NG,Waterside,KY,,,,,,,
841,1368,Zorn,38.28028,-85.7023,KY,EXCLUDE,NG,Zorn,KY,,,,,,,
842,1371,Barkley,37.0217,-88.2211,KY,EXCLUDE,WAT,Barkley,KY,,,,,,,
843,1374,Elmer Smith,37.7942,-87.0608,KY,COALST,BIT,Elmer Smith,KY,,,,,,,
844,1376,Paris (KY),38.2049,-84.2383,KY,EXCLUDE,DFO,Paris,KY,,,,,,,
845,1377,Kentucky Dam,37.0131,-88.2692,KY,EXCLUDE,WAT,Kentucky Dam,KY,,,,,,,
846,1378,Paradise,37.2608,-86.9783,KY,COALST,BIT,Paradise,KY,,,,,,,
847,1379,Shawnee,37.1517,-88.775,KY,COALST,BIT,Shawnee,KY,,,,,,,
848,1380,Wolf Creek,36.8691,-85.147,KY,EXCLUDE,WAT,Wolf Creek,KY,,,,,,,
849,1381,Kenneth C Coleman,37.9631,-86.7911,KY,COALST,BIT,Kenneth C Coleman,KY,,,,,,,
850,1382,HMP&L Station Two Henderson,37.6469,-87.5028,KY,COALST,BIT,HMP&L Station Two Henderson,KY,,,,,,,
851,1383,Robert A Reid,37.6461,-87.5019,KY,COALST,BIT,Robert A Reid,KY,,,,,,,
852,1384,Cooper,36.9981,-84.5919,KY,COALST,BIT,Cooper,KY,,,,,,,
853,1385,Dale,37.8806,-84.2619,KY,COALST,BIT,Dale,KY,,,,,,,
854,1391,Louisiana,30.4922,-91.1864,LA,EXCLUDE,NG,Louisiana 1,LA,,,,,,,
855,1392,1392,1392,1392,1392,OGST,NG,Louisiana 2,LA,,,,,,,
856,1393,R S Nelson,30.2844,-93.2911,LA,EXCLUDE,PC,R S Nelson,LA,,,,,,,
857,1394,Willow Glen,30.2743,-91.1164,LA,OGST,NG,Willow Glen,LA,,,,,,,
858,1396,Coughlin Power Station,30.8439,-92.2611,LA,NGCC,NG,Coughlin Power Station,LA,,,,,,,
859,1400,Teche,29.82222,-91.5425,LA,EXCLUDE,NG,Teche,LA,,,,,,,
860,1401,Buras,29.35915,-89.5373,LA,EXCLUDE,NG,Buras,LA,,,,,,,
861,1402,Little Gypsy,30.00507,-90.4617,LA,OGST,NG,Little Gypsy,LA,,,,,,,
862,1403,Nine Mile Point,29.9472,-90.1458,LA,EXCLUDE,NG,Nine Mile Point,LA,,,,,,,
863,1404,Sterlington,32.7047,-92.0792,LA,OGST,NG,Sterlington,LA,,,,,,,
864,1407,A B Paterson,30.01583,-90.0256,LA,EXCLUDE,NG,A B Paterson,LA,,,,,,,
865,1409,Michoud,30.0081,-89.9372,LA,EXCLUDE,NG,Michoud,LA,,,,,,,
866,1416,Arsenal Hill,32.5181,-93.7611,LA,OGST,NG,Arsenal Hill,LA,,,,,,,
867,1417,Lieberman,32.7047,-93.9597,LA,EXCLUDE,NG,Lieberman,LA,,,,,,,
868,1435,Franklin (LA),29.82222,-91.5425,LA,EXCLUDE,NG,Franklin,LA,not in EIA,,,OGST,,,
869,1439,Houma,29.5806,-90.7225,LA,EXCLUDE,NG,Houma,LA,,,,,,,
870,1443,Louis Doc Bonin,30.23804,-92.0463,LA,OGST,NG,Louis Doc Bonin,LA,,,,,,,
871,1445,Rodemacher,30.236111,-92.008333,LA,EXCLUDE,NG,Rodemacher,LA,,,,,,,
872,1447,Minden,32.60464,-93.2944,LA,EXCLUDE,NG,Minden,LA,,,,,,,
873,1448,Monroe,32.5233,-92.1794,LA,EXCLUDE,NG,Monroe,LA,,,,,,,
874,1449,Morgan City,29.69144,-91.1885,LA,EXCLUDE,NG,Morgan City,LA,,,,,,,
875,1453,New Roads,30.72611,-91.3683,LA,EXCLUDE,NG,New Roads,LA,,,,,,,
876,1455,Plaquemine,30.27333,-91.2567,LA,EXCLUDE,NG,Plaquemine,LA,,,,,,,
877,1456,Rayne,30.2044,-92.2486,LA,EXCLUDE,DFO,Rayne,LA,,,,,,,
878,1464,Big Cajun,30.6739,-91.3556,LA,OGST,NG,Big Cajun 1,LA,,,,,,,
879,1466,Bar Harbor,44.3817,-68.2869,ME,EXCLUDE,DFO,Bar Harbor,ME,,,,,,,
880,1468,Eastport,44.9136,-67.0033,ME,EXCLUDE,DFO,Eastport,ME,,,,,,,
881,1469,Ellsworth Hydro Station,44.5442,-68.4306,ME,EXCLUDE,WAT,Ellsworth Hydro Station,ME,,,,,,,
882,1472,Howland Hydro Station,45.2386,-68.6572,ME,EXCLUDE,WAT,Howland Hydro Station,ME,,,,,,,
883,1474,Medway,45.6078,-68.5444,ME,EXCLUDE,DFO,Medway,ME,,,,,,,
884,1475,Milford Hydro Station,44.94206,-68.645,ME,EXCLUDE,WAT,Milford Hydro Station,ME,didn't have elec. plant consumption,plant gen,,exclude,,,
885,1478,Stillwater Hydro Station,44.9094,-68.6833,ME,EXCLUDE,WAT,Stillwater Hydro Station,ME,,,,,,,
886,1479,Veazie Hydro Station,44.8319,-68.7028,ME,EXCLUDE,WAT,Veazie Hydro Station,ME,,,,,,,
887,1480,Androscoggin,44.13533,-70.2015,ME,EXCLUDE,WAT,Androscoggin 3,ME,,,,,,,
888,1481,Bar Mills,43.6136,-70.5525,ME,EXCLUDE,WAT,Bar Mills,ME,,,,,,,
889,1482,Bonny Eagle,43.68769,-70.6116,ME,EXCLUDE,WAT,Bonny Eagle,ME,,,,,,,
890,1483,Brunswick Hydro,43.92049,-69.9678,ME,EXCLUDE,WAT,Brunswick,ME,,,,,,,
891,1484,Cape Gas Turbine,43.6436,-70.2544,ME,EXCLUDE,DFO,Cape Gas Turbine,ME,,,,,,,
892,1486,Cataract Hydro,43.4956,-70.4472,ME,EXCLUDE,WAT,Cataract,ME,,,,,,,
893,1487,Continental Mills,44.092,-70.2219,ME,EXCLUDE,WAT,Continental Mills,ME,,,,,,,
894,1488,Deer Rips,44.13457,-70.2037,ME,EXCLUDE,WAT,Deer Rips,ME,,,,,,,
895,1490,Fort Halifax,44.53861,-69.6278,ME,EXCLUDE,WAT,Fort Halifax,ME,,,,,,,
896,1491,Gulf Island,44.15285,-70.2094,ME,EXCLUDE,WAT,Gulf Island,ME,,,,,,,
897,1492,Harris Hydro,45.4592,-69.8658,ME,EXCLUDE,WAT,Harris,ME,,,,,,,
898,1493,Hiram,43.8525,-70.7969,ME,EXCLUDE,WAT,Hiram,ME,,,,,,,
899,1497,Messalonskee,44.54854,-69.7104,ME,EXCLUDE,WAT,Messalonskee 2 (Oakland),ME,,,,,,,
900,1498,Messalonskee,44.56987,-69.6818,ME,EXCLUDE,WAT,Messalonskee 3,ME,,,,,,,
901,1500,Messalonskee,44.5344,-69.6522,ME,EXCLUDE,WAT,Messalonskee 5,ME,,,,,,,
902,1501,North Gorham,43.80252,-70.4499,ME,EXCLUDE,WAT,North Gorham,ME,,,,,,,
903,1504,Shawmut,44.62952,-69.5835,ME,EXCLUDE,WAT,Shawmut,ME,,,,,,,
904,1505,Skelton,43.5708,-70.5583,ME,EXCLUDE,WAT,Skelton,ME,,,,,,,
905,1507,William F Wyman,43.7508,-70.1567,ME,OGST,RFO,William F Wyman,ME,,,,,,,
906,1508,West Buxton,43.66687,-70.6021,ME,EXCLUDE,WAT,West Buxton,ME,,,,,,,
907,1509,Weston Hydro,44.76388,-69.7183,ME,EXCLUDE,WAT,Weston,ME,,,,,,,
908,1510,Williams Hydro,44.9589,-69.8703,ME,EXCLUDE,WAT,Williams,ME,,,,,,,
909,1511,Wyman Hydro,45.0703,-69.9064,ME,EXCLUDE,WAT,Wyman Hydro,ME,,,,,,,
910,1513,Caribou Generation Station,46.848,-68.0026,ME,EXCLUDE,RFO,Caribou Generation Station,ME,,,,,,,
911,1514,Flos Inn Diesel,46.71,-67.9556,ME,EXCLUDE,DFO,Flos Inn Diesel,ME,,,,,,,
912,1516,Squa Pan Hydro Station,46.55648,-68.3255,ME,EXCLUDE,WAT,Squa Pan Hydro Station,ME,,,,,,,
913,1552,C P Crane,39.3236,-76.3651,MD,COALST,SUB,C P Crane,MD,,,,,,,
914,1553,Gould Street,39.2663,-76.6047,MD,OGST,NG,Gould Street,MD,,,,,,,
915,1554,Herbert A Wagner,39.1781,-76.5268,MD,OGST,NG,Herbert A Wagner,MD,,,,,,,
916,1555,Notch Cliff,39.4217,-76.5087,MD,EXCLUDE,NG,Notch Cliff,MD,,,,,,,
917,1556,Perryman,39.44284,-76.2218,MD,EXCLUDE,DFO,Perryman,MD,,,,,,,
918,1557,Philadelphia,39.2986,-76.5636,MD,EXCLUDE,DFO,Philadelphia,MD,,,,,,,
919,1559,Riverside (MD),39.2369,-76.5133,MD,OGST,NG,Riverside,MD,,,,,,,
920,1560,Westport,39.2719,-76.6186,MD,EXCLUDE,NG,Westport,MD,,,,,,,
921,1563,Crisfield,37.9833,-75.8333,MD,EXCLUDE,DFO,Crisfield,MD,,,,,,,
922,1564,Vienna Operations,38.4878,-75.8208,MD,EXCLUDE,DFO,Vienna Operations,MD,,,,,,,
923,1567,Deep Creek,39.523,-79.413,MD,EXCLUDE,WAT,Deep Creek,MD,,,,,,,
924,1570,FirstEnergy R Paul Smith Power Station,39.595,-77.8269,MD,COALST,BIT,FirstEnergy R Paul Smith Power Station,MD,,,,,,,
925,1571,Chalk Point LLC,38.5444,-76.6861,MD,OGST,NG,Chalk Point LLC,MD,,,,,,,
926,1572,Dickerson,39.2097,-77.4644,MD,COALST,BIT,Dickerson,MD,,,,,,,
927,1573,Morgantown Generating Plant,38.3592,-76.9767,MD,EXCLUDE,DFO,Morgantown Generating Plant,MD,,,,,,,
928,1574,Conowingo,39.6572,-76.1752,MD,EXCLUDE,WAT,Conowingo,MD,,,,,,,
929,1580,Easton,38.7786,-76.0769,MD,EXCLUDE,DFO,Easton,MD,,,,,,,
930,1585,Exelon Edgar LLC,42.24556,-70.9649,MA,EXCLUDE,DFO,Exelon Edgar LLC,MA,,,,,,,
931,1586,Exelon Framingham LLC,42.2672,-71.3983,MA,EXCLUDE,DFO,Exelon Framingham LLC,MA,,,,,,,
932,1587,Exelon L Street,42.3392,-71.0353,MA,EXCLUDE,DFO,Exelon L Street,MA,,,,,,,
933,1588,Mystic Generating Station,42.3908,-71.0675,MA,EXCLUDE,RFO,Mystic Generating Station,MA,,,,,,,
934,1589,New Boston Generating Station,42.33917,-71.0353,MA,EXCLUDE,NG,New Boston Generating Station,MA,,,,,,,
935,1590,Pilgrim Nuclear Power Station,41.9438,-70.578,MA,EXCLUDE,NUC,Pilgrim Nuclear Power Station,MA,,,,,,,
936,1592,Exelon Medway LLC,42.14003,-71.4464,MA,EXCLUDE,DFO,Exelon Medway LLC,MA,,,,,,,
937,1594,Blackstone Street,42.36417,-71.115,MA,EXCLUDE,RFO,Blackstone Street,MA,,,,,,,
938,1595,Kendall Square Station,42.3633,-71.0792,MA,NGCC,NG,Kendall Square Station,MA,,,,,,,
939,1597,Oak Bluffs Diesel Generating Facility,41.4508,-70.5547,MA,EXCLUDE,DFO,Oak Bluffs Diesel Generating Facility,MA,,,,,,,
940,1599,Canal,41.7694,-70.5097,MA,OGST,RFO,Canal,MA,,,,,,,
941,1603,Boatlock,42.2086,-72.6014,MA,EXCLUDE,WAT,Boatlock,MA,,,,,,,
942,1604,Chemical,42.1919,-72.6097,MA,EXCLUDE,WAT,Chemical,MA,,,,,,,
943,1605,Hadley Falls,42.2119,-72.6036,MA,EXCLUDE,WAT,Hadley Falls,MA,,,,,,,
944,1606,Mount Tom,42.2806,-72.6055,MA,COALST,BIT,Mount Tom,MA,,,,,,,
945,1607,Riverside Holyoke,42.20059,-72.5944,MA,EXCLUDE,WAT,Riverside,MA,,,,,,,
946,1615,Nantucket,41.2583,-70.0517,MA,EXCLUDE,DFO,Nantucket,MA,,,,,,,
947,1619,Brayton Point,41.7103,-71.1931,MA,COALST,BIT,Brayton Point,MA,,,,,,,
948,1620,Deerfield,42.69118,-72.9561,MA,EXCLUDE,WAT,Deerfield 5,MA,,,,,,,
949,1626,Salem Harbor,42.5256,-70.8772,MA,COALST,BIT,Salem Harbor,MA,,,,,,,
950,1629,Cabot,42.5875,-72.5793,MA,EXCLUDE,WAT,Cabot,MA,,,,,,,
951,1630,Cobble Mountain,42.11711,-72.8647,MA,EXCLUDE,WAT,Cobble Mountain,MA,,,,,,,
952,1631,Doreen,42.4433,-73.2058,MA,EXCLUDE,JF,Doreen,MA,,,,,,,
953,1634,Gardners Falls,42.5914,-72.7308,MA,EXCLUDE,WAT,Gardners Falls,MA,,,,,,,
954,1637,Putts Bridge,42.1579,-72.4864,MA,EXCLUDE,WAT,Putts Bridge,MA,,,,,,,
955,1638,Redbridge,42.17605,-72.4095,MA,EXCLUDE,WAT,Redbridge,MA,,,,,,,
956,1642,NAEA Energy Massachusetts LLC,42.095,-72.595,MA,OGST,NG,NAEA Energy Massachusetts LLC,MA,,,,,,,
957,1643,Woodland Road,42.33622,-73.2355,MA,EXCLUDE,KER,Woodland Road,MA,,,,,,,
958,1660,Potter Station,42.235,-70.9672,MA,NGCC,NG,Potter Station 2,MA,,,,,,,
959,1670,High Street Station,42.6986,-70.8697,MA,EXCLUDE,NG,High Street Station,MA,,,,,,,
960,1678,Waters River,42.54295,-70.9283,MA,EXCLUDE,NG,Waters River,MA,,,,,,,
961,1682,Cleary Flood,41.8653,-71.1061,MA,OGST,RFO,Cleary Flood,MA,,,,,,,
962,1693,Alcona,44.56196,-83.8045,MI,EXCLUDE,WAT,Alcona,MI,,,,,,,
963,1694,Allegan Dam,42.5638,-85.954,MI,EXCLUDE,WAT,Allegan Dam,MI,,,,,,,
964,1695,B C Cobb,43.25877,-86.2423,MI,OGST,NG,B C Cobb,MI,,,,,,,
965,1696,B E Morrow,42.28022,-85.4925,MI,EXCLUDE,NG,B E Morrow,MI,,,,,,,
966,1698,C W Tippy,44.25914,-85.9396,MI,EXCLUDE,WAT,C W Tippy,MI,,,,,,,
967,1700,Cooke,44.47262,-83.5719,MI,EXCLUDE,WAT,Cooke,MI,,,,,,,
968,1701,Croton,43.43732,-85.6645,MI,EXCLUDE,WAT,Croton,MI,,,,,,,
969,1702,Dan E Karn,43.645,-83.8401,MI,COALST,SUB,Dan E Karn,MI,,,,,,,
970,1704,Five Channels,44.45552,-83.6763,MI,EXCLUDE,WAT,Five Channels,MI,,,,,,,
971,1705,Foote,44.43538,-83.4407,MI,EXCLUDE,WAT,Foote,MI,,,,,,,
972,1706,Gaylord - Consumers,45.0306,-84.7039,MI,EXCLUDE,NG,Gaylord,MI,,,,,,,
973,1707,Hardy,43.48662,-85.6299,MI,EXCLUDE,WAT,Hardy,MI,,,,,,,
974,1708,Hodenpyl,44.36286,-85.82,MI,EXCLUDE,WAT,Hodenpyl,MI,,,,,,,
975,1710,J H Campbell,42.9103,-86.2007,MI,COALST,SUB,J H Campbell,MI,,,,,,,
976,1712,Loud,44.4631,-83.7208,MI,EXCLUDE,WAT,Loud,MI,,,,,,,
977,1713,Ludington,43.8942,-86.4447,MI,EXCLUDE,WAT,Ludington,MI,,,,,,,
978,1714,Mio,44.66111,-84.1317,MI,EXCLUDE,WAT,Mio,MI,,,,,,,
979,1715,Palisades,42.323,-86.3146,MI,EXCLUDE,NUC,Palisades,MI,,,,,,,
980,1716,Rogers,43.613,-85.4795,MI,EXCLUDE,WAT,Rogers,MI,,,,,,,
981,1718,Straits,45.76686,-84.7566,MI,EXCLUDE,NG,Straits,MI,,,,,,,
982,1719,Thetford,43.15675,-83.6286,MI,EXCLUDE,NG,Thetford,MI,,,,,,,
983,1720,J C Weadock,43.63993,-83.8447,MI,COALST,SUB,J C Weadock,MI,,,,,,,
984,1722,Webber,42.9528,-84.9025,MI,EXCLUDE,WAT,Webber,MI,,,,,,,
985,1723,J R Whiting,41.79211,-83.4495,MI,COALST,SUB,J R Whiting,MI,,,,,,,
986,1725,Colfax,42.65865,-84.0952,MI,EXCLUDE,DFO,Colfax,MI,,,,,,,
987,1726,Conners Creek,42.3592,-82.9597,MI,EXCLUDE,DFO,Conners Creek,MI,,,,,,,
988,1727,Dayton (MI),42.1758,-83.5336,MI,EXCLUDE,DFO,Dayton,MI,,,,,,,
989,1728,Delray,42.2947,-83.1019,MI,EXCLUDE,NG,Delray,MI,,,,,,,
990,1729,Fermi,41.9631,-83.2581,MI,EXCLUDE,NUC,Fermi,MI,,,,,,,
991,1730,Hancock,42.5497,-83.4425,MI,EXCLUDE,NG,Hancock,MI,,,,,,,
992,1731,Harbor Beach,43.8519,-82.6436,MI,COALST,BIT,Harbor Beach,MI,,,,,,,
993,1732,Marysville,42.9256,-82.4606,MI,EXCLUDE,BIT,Marysville,MI,,,,,,,
994,1733,Monroe (MI),41.8906,-83.3464,MI,COALST,SUB,Monroe,MI,,,,,,,
995,1734,Northeast (MI),42.45,-83.0381,MI,EXCLUDE,NG,Northeast,MI,,,,,,,
996,1735,Oliver,43.8264,-83.2383,MI,EXCLUDE,DFO,Oliver,MI,,,,,,,
997,1737,Placid,42.7106,-83.4569,MI,EXCLUDE,DFO,Placid 12,MI,,,,,,,
998,1739,Putnam (MI),42.7108,-83.4561,MI,EXCLUDE,DFO,Putnam,MI,,,,,,,
999,1740,River Rouge,42.2739,-83.1119,MI,OGST,NG,River Rouge,MI,,,,,,,
1000,1741,Slocum,42.1225,-83.185,MI,EXCLUDE,DFO,Slocum,MI,,,,,,,
1001,1743,St Clair,42.7642,-82.4719,MI,COALST,SUB,St Clair,MI,,,,,,,
1002,1744,Superior,42.2639,-83.6422,MI,EXCLUDE,DFO,Superior,MI,,,,,,,
1003,1745,Trenton Channel,42.1217,-83.1808,MI,COALST,SUB,Trenton Channel,MI,,,,,,,
1004,1746,Wilmot,43.4566,-83.1889,MI,EXCLUDE,DFO,Wilmot,MI,,,,,,,
1005,1750,Manistique,45.95501,-86.2563,MI,EXCLUDE,DFO,Manistique,MI,,,,,,,
1006,1751,Edison Sault,46.5162,-84.3729,MI,EXCLUDE,WAT,Edison Sault,MI,,,,,,,
1007,1753,Berrien Springs,41.9439,-86.3289,MI,EXCLUDE,WAT,Berrien Springs,MI,,,,,,,
1008,1754,Buchanan (MI),41.83957,-86.3511,MI,EXCLUDE,WAT,Buchanan,MI,,,,,,,
1009,1756,Saxon Falls,46.5392,-90.3742,WI,EXCLUDE,WAT,Saxon Falls,MI,,,,,,,
1010,1757,Superior Falls,46.5646,-90.4161,MI,EXCLUDE,WAT,Superior Falls,MI,,,,,,,
1011,1760,Constantine,41.8436,-85.6694,MI,EXCLUDE,WAT,Constantine,MI,,,,,,,
1012,1761,Mottville,41.8056,-85.7505,MI,EXCLUDE,WAT,Mottville,MI,,,,,,,
1013,1769,Presque Isle,46.5789,-87.395,MI,EXCLUDE,BIT,Presque Isle,MI,,,,,,,
1014,1771,Escanaba,45.77167,-87.0639,MI,EXCLUDE,BIT,Escanaba,MI,,,,,,,
1015,1772,John H Warden,46.7553,-88.4558,MI,EXCLUDE,WDS,John H Warden,MI,,,,,,,
1016,1773,Prickett,46.7261,-88.6625,MI,EXCLUDE,WAT,Prickett,MI,,,,,,,
1017,1774,Victoria Dam,46.6964,-89.2089,MI,EXCLUDE,WAT,Victoria,MI,,,,,,,
1018,1775,Brule,45.9472,-88.2189,WI,EXCLUDE,WAT,Brule,WI,,,,,,,
1019,1776,Chalk Hill,45.5136,-87.8011,MI,EXCLUDE,WAT,Chalk Hill,MI,,,,,,,
1020,1777,Hemlock Falls,46.1311,-88.225,MI,EXCLUDE,WAT,Hemlock Falls,MI,,,,,,,
1021,1778,Kingsford,45.80796,-88.1251,MI,EXCLUDE,WAT,Kingsford,MI,,,,,,,
1022,1780,Michigamme Falls,45.9553,-88.1958,MI,EXCLUDE,WAT,Michigamme Falls,MI,,,,,,,
1023,1781,Peavy Falls,45.99078,-88.2105,MI,EXCLUDE,WAT,Peavy Falls,MI,,,,,,,
1024,1784,Twin Falls (MI),45.8719,-88.0694,MI,EXCLUDE,WAT,Twin Falls,MI,,,,,,,
1025,1785,Way Dam,46.1592,-88.2353,MI,EXCLUDE,WAT,Way Dam,MI,,,,,,,
1026,1786,White Rapids,45.48208,-87.8022,MI,EXCLUDE,WAT,White Rapids,MI,,,,,,,
1027,1787,Grand Rapids,45.3547,-87.6494,MI,EXCLUDE,WAT,Grand Rapids,MI,,,,,,,
1028,1818,Clinton,42.0725,-83.9714,MI,EXCLUDE,DFO,Clinton,MI,,,,,,,
1029,1819,Coldwater,41.93222,-84.9955,MI,EXCLUDE,DFO,Coldwater,MI,,,,,,,
1030,1821,Crystal Falls,46.10628,-88.3345,MI,EXCLUDE,WAT,Crystal Falls,MI,,,,,,,
1031,1822,Mistersky,42.3039,-83.0903,MI,EXCLUDE,NG,Mistersky,MI,,,,,,,
1032,1825,J B Sims,43.0706,-86.235,MI,COALST,BIT,J B Sims,MI,,,,,,,
1033,1826,Grand Haven Diesel Plant,43.1006,-86.2366,MI,EXCLUDE,NG,Grand Haven Diesel Plant,MI,,,,,,,
1034,1827,Hart,43.7067,-86.4367,MI,EXCLUDE,DFO,Hart,MI,,,,,,,
1035,1829,Hillsdale,41.9061,-84.6319,MI,EXCLUDE,DFO,Hillsdale,MI,,,,,,,
1036,1830,James De Young,42.7956,-86.1133,MI,EXCLUDE,BIT,James De Young,MI,,,,,,,
1037,1831,Eckert Station,42.71839,-84.5581,MI,COALST,SUB,Eckert Station,MI,,,,,,,
1038,1832,Erickson Station,42.69222,-84.6572,MI,COALST,SUB,Erickson Station,MI,,,,,,,
1039,1837,Lowell,42.935,-85.3378,MI,EXCLUDE,NG,Lowell,MI,,,,,,,
1040,1840,Plant Four,46.57597,-87.4036,MI,EXCLUDE,DFO,Plant Four,MI,,,,,,,
1041,1842,James R Smith,46.57164,-87.4105,MI,EXCLUDE,WAT,James R Smith,MI,,,,,,,
1042,1843,Shiras,46.5306,-87.3922,MI,EXCLUDE,BIT,Shiras,MI,,,,,,,
1043,1844,Marshall (MI),42.2717,-84.9411,MI,EXCLUDE,WAT,Marshall,MI,,,,,,,
1044,1846,Newberry,46.5933,-85.8183,MI,EXCLUDE,DFO,Newberry,MI,,,,,,,
1045,1848,Norway (MI),45.7889,-87.9058,MI,EXCLUDE,WAT,Norway,MI,,,,,,,
1046,1851,Frank Jenkins,42.8644,-84.9031,MI,EXCLUDE,DFO,Frank Jenkins,MI,,,,,,,
1047,1852,St Louis,43.4019,-84.6014,MI,EXCLUDE,DFO,St Louis,MI,,,,,,,
1048,1853,Main Street (MI),43.7289,-83.4367,MI,EXCLUDE,NG,Main Street,MI,,,,,,,
1049,1855,Sturgis City Diesel Plant,41.7992,-85.4256,MI,EXCLUDE,DFO,Sturgis City  Diesel Plant,MI,,,,,,,
1050,1856,Hydro Plant,41.9711,-85.5381,MI,EXCLUDE,WAT,Hydro Plant,MI,,,,,,,
1051,1865,Saint Marys Falls,46.50625,-84.3493,MI,EXCLUDE,WAT,Saint Marys Falls,MI,,,,,,,
1052,1866,Wyandotte,42.2081,-83.1453,MI,EXCLUDE,BIT,Wyandotte,MI,,,,,,,
1053,1867,Zeeland,42.8067,-86.0558,MI,EXCLUDE,NG,Zeeland,MI,,,,,,,
1054,1868,Dafter,46.3292,-84.3847,MI,EXCLUDE,DFO,Dafter,MI,,,,,,,
1055,1871,Kleber,45.39198,-84.3333,MI,EXCLUDE,WAT,Kleber,MI,,,,,,,
1056,1873,Tower,45.36282,-84.295,MI,EXCLUDE,DFO,Tower,MI,,,,,,,
1057,1874,Caro,43.4878,-83.3881,MI,EXCLUDE,DFO,Caro,MI,,,,,,,
1058,1875,Ubly,43.6806,-82.9478,MI,EXCLUDE,DFO,Ubly,MI,,,,,,,
1059,1877,George Johnson,43.8393,-85.426,MI,EXCLUDE,NG,George Johnson,MI,,,,,,,
1060,1879,Scottville,43.955,-86.293611,MI,EXCLUDE,DFO,Scottville,MI,,,,,,,
1061,1880,Claude Vandyke,42.731,-85.8551,MI,EXCLUDE,NG,Claude Vandyke,MI,,,,,,,
1062,1881,Vestaburg,43.4016,-84.9141,MI,EXCLUDE,DFO,Vestaburg,MI,,,,,,,
1063,1888,Fox Lake,43.6728,-94.7075,MN,EXCLUDE,NG,Fox Lake,MN,,,,,,,
1064,1889,Hills,43.52887,-96.3647,MN,EXCLUDE,DFO,Hills,MN,,,,,,,
1065,1891,Syl Laskin,47.5306,-92.1619,MN,COALST,SUB,Syl Laskin,MN,,,,,,,
1066,1892,Blanchard,45.8614,-94.3592,MN,EXCLUDE,WAT,Blanchard,MN,,,,,,,
1067,1893,Clay Boswell,47.2611,-93.6528,MN,COALST,SUB,Clay Boswell,MN,,,,,,,
1068,1894,Fond Du Lac,46.66677,-92.2939,MN,EXCLUDE,WAT,Fond Du Lac,MN,,,,,,,
1069,1895,Knife Falls,46.72663,-92.4486,MN,EXCLUDE,WAT,Knife Falls,MN,,,,,,,
