Name,State/Tribe,Region,State-region,Coal Steam Electric Generation (MWh),Coal Steam Carbon Dioxide Emissions (tons),Coal Steam Emission Rate (lb/MWh),NGCC Electric Generation (MWh),NGCC Carbon Dioxide Emissions (tons),NGCC Emission Rate (lb/MWh),NGCC Summer Capacity (MW),Oil and gas-fired steam Electric Generation (MWh),Oil and gas-fired steam Carbon Dioxide Emissions (tons),Oil and gas-fired steam Emission Rate (lb/MWh),Adjustment,Adjusted Coal Steam Gen (MWh),Adjusted NGCC Gen (MWh),Adjusted OG Gen (MWh),Summer  Capacity (MW),Summer Capacity (MW),Summer  Capacity (MW),Summer  Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),Capacity (MW),Electric Generation (MWh),Emission Rate (lb/MWh),Carbon Dioxide Emissions (tons),,Total Adj. Baseline Fossil Steam Generation (Used in Appendix 5)
,Navajo,Western,Navajo-Western,29629453,31416873,2121,0,0,,0,0,0,,,,,,0,0,0,0,29629453,2121,31416873,0,,0,0,,,0,,"  29,629,453 "
North Carolina,NC,Eastern,NC-Eastern,50572372,51933505,2054,15060254,6419973,853,2535,0,0,,,,,,825,0,1540,625,54920452,2054,56398611,25519802,853,10878730,4700,,,0,,"  54,920,452 "
,ND,Eastern,ND-Eastern,28186691,33370886,2368,0,0,,0,0,0,,,,,,0,62,0,0,28513456,2368,33757751,0,,0,0,,,0,,"  28,513,456 "
Nebraska,NE,Eastern,NE-Eastern,24660983,26894699,2181,423638,215103,1016,321,37882,32927,1738,,,,,0,0,0,0,24660983,2181,26894699,423638,1016,215103,321,37882,1738,32927,,"  24,698,865 "
New Hampshire,NH,Eastern,NH-Eastern,1281341,1526091,2382,6946869,3048207,878,1203,72614,68600,1889,,,,,0,0,0,0,1281341,2382,1526091,6946869,878,3048207,1203,72614,1889,68600,,"  1,353,955 "
New Jersey,NJ,Eastern,NJ-Eastern,2602990,3176791,2441,25099065,11904004,949,5793,172589,126348,1464,,,,,0,0,0,1773,2602990,2441,3176791,33664782,949,15966559,7566,172589,1464,126348,,"  2,775,579 "
,NM,Eastern,NM-Eastern,0,0,,2987812,1339381,897,530,1388302,879643,1267,,,,,0,0,0,0,,,,2987812,897,1339381,530,1388302,1267,879643,,"  1,388,302 "
New Mexico,NM,Western,NM-Western,11353987,13289478,2341,2743145,1260779,919,860,819699,570402,1392,,,,,0,0,0,0,11353987,2341,13289478,2743145,919,1260779,860,819699,1392,570402,,"  12,173,686 "
Nevada,NV,Western,NV-Western,4133662,4701207,2275,23783256,10632353,894,5157,279853,203171,1452,,,,,0,0,0,0,4133662,2275,4701207,23783256,894,10632353,5157,279853,1452,203171,,"  4,413,515 "
New York,NY,Eastern,NY-Eastern,4156143,4625706,2226,44035434,21430980,973,8457,12505652,8539770,1366,,,,,0,0,0,0,4156143,2226,4625706,44035434,973,21430980,8457,12505652,1366,8539770,,"  16,661,795 "
